item_nbr,units
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
93.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,1.0
94.0,0.0
94.0,1.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,2.0
94.0,2.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
94.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
95.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
96.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
97.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,2.0
98.0,0.0
98.0,1.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
98.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
99.0,0.0
100.0,1.0
100.0,0.0
100.0,1.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
101.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
102.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
103.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
104.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
105.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
106.0,0.0
